"age_group","Sex_B01ID","mMETs","IndividualID","sum_MMETh","total_mmet"
" 65 - 69 ",2,0,2012000241,1.2,1.2
" 85  +",1,24.5,2012000242,16.21,40.71
" 30 - 39 ",2,0,2012000243,0,0
" 50 - 59 ",2,0,2012000244,12.9,12.9
" 50 - 59 ",1,0,2012000245,18.93,18.93
" 50 - 59 ",2,7.93,2012000246,0,7.93
" 26 - 29 ",1,22.43,2012000247,19.24,41.67
" 40 - 49 ",2,0,2012000248,0,0
" 40 - 49 ",1,1.31,2012000249,0,1.31
" 75 - 79 ",2,0,2012000252,0,0
" 75 - 79 ",1,35,2012000253,0,35
" 50 - 59 ",1,0,2012000254,7.2,7.2
" 50 - 59 ",1,0,2012000256,0,0
" 40 - 49 ",2,0,2012000257,2.4,2.4
" 21 - 25 ",1,4.5,2012000258,24.54,29.04
" 40 - 49 ",2,30,2012000259,1.8,31.8
" 40 - 49 ",1,0.29,2012000260,0,0.29
" 21 - 25 ",1,54.06,2012000261,1.8,55.86
"19",2,26.08,2012000262,0,26.08
" 40 - 49 ",1,9.83,2012000264,0,9.83
" 60 - 64 ",2,11.25,2012000265,28.88,40.13
" 60 - 64 ",1,1.75,2012000266,12,13.75
" 30 - 39 ",1,31,2012000267,2.4,33.4
" 80 - 84 ",2,0,2012000268,0,0
" 60 - 64 ",1,6.56,2012000269,13.8,20.36
" 65 - 69 ",2,0,2012000270,0,0
" 30 - 39 ",2,45.62,2012000271,0,45.62
" 30 - 39 ",1,25.58,2012000272,0,25.58
" 30 - 39 ",1,30.87,2012000273,3,33.87
" 30 - 39 ",2,42,2012000274,3.6,45.6
" 80 - 84 ",2,0,2012000275,0,0
" 60 - 64 ",1,64.68,2012000276,3.6,68.28
" 60 - 64 ",2,7.64,2012000277,3.6,11.24
" 30 - 39 ",2,1.25,2012000283,9.6,10.85
" 40 - 49 ",1,2.37,2012000285,0,2.37
"20",1,55.5,2012000292,26.11,81.61
"20",1,11.66,2012000293,20.4,32.06
" 21 - 25 ",1,16,2012000294,11.27,27.27
" 21 - 25 ",1,12.5,2012000295,14.45,26.95
"20",1,0,2012000296,7.2,7.2
" 40 - 49 ",2,1.75,2012000297,5.11,6.86
" 75 - 79 ",1,0,2012000298,0,0
" 21 - 25 ",1,32.5,2012000299,7.51,40.01
" 21 - 25 ",1,0,2012000300,4.21,4.21
" 21 - 25 ",1,8.5,2012000301,17.13,25.63
" 21 - 25 ",2,2.62,2012000302,0,2.62
"20",2,0,2012000303,0,0
"20",1,8.5,2012000304,0,8.5
"20",2,0,2012000305,3,3
"20",2,0,2012000306,3,3
"20",1,10,2012000307,4.2,14.2
" 21 - 25 ",1,84.16,2012000308,12.64,96.8
" 21 - 25 ",2,7.5,2012000309,14.71,22.21
" 21 - 25 ",2,17.5,2012000310,8.41,25.91
" 21 - 25 ",2,0,2012000311,9.36,9.36
"20",2,0,2012000312,19.26,19.26
" 30 - 39 ",2,0,2012000313,0,0
" 30 - 39 ",1,1.16,2012000314,0,1.16
" 21 - 25 ",1,55.5,2012000319,9.26,64.76
" 21 - 25 ",2,33,2012000320,9.26,42.26
" 21 - 25 ",2,5,2012000321,9.26,14.26
" 21 - 25 ",2,0,2012000322,0,0
"20",2,0.56,2012000323,0,0.56
" 21 - 25 ",1,43.41,2012000324,0,43.41
" 21 - 25 ",1,0,2012000325,0,0
"20",2,0,2012000326,0,0
" 21 - 25 ",2,0,2012000327,0,0
" 21 - 25 ",2,0,2012000328,0,0
" 21 - 25 ",1,0,2012000329,0,0
" 65 - 69 ",1,0.62,2012000330,0,0.62
" 40 - 49 ",1,17.5,2012000331,14.4,31.9
" 50 - 59 ",1,0,2012000332,14.4,14.4
" 30 - 39 ",1,11.33,2012000334,0,11.33
"20",2,17.5,2012000335,0,17.5
" 21 - 25 ",2,0,2012000337,13.08,13.08
" 21 - 25 ",1,90.83,2012000338,0,90.83
" 21 - 25 ",2,0,2012000339,0,0
" 26 - 29 ",1,8.37,2012000340,0,8.37
" 21 - 25 ",2,0,2012000341,6.18,6.18
" 26 - 29 ",2,0,2012000342,11.77,11.77
"20",1,0,2012000344,14.4,14.4
"20",1,12.5,2012000345,12,24.5
"20",1,8.5,2012000346,14.4,22.9
" 21 - 25 ",1,0,2012000347,12,12
"18",2,45.12,2012000348,4.8,49.92
"20",1,15.99,2012000349,0,15.99
"18",1,0,2012000350,8.46,8.46
" 26 - 29 ",2,41.95,2012000351,0,41.95
" 30 - 39 ",1,59.04,2012000352,0,59.04
"19",2,45.12,2012000353,9.6,54.72
" 50 - 59 ",1,49.83,2012000354,0,49.83
" 40 - 49 ",2,0,2012000355,0,0
" 40 - 49 ",2,28.5,2012000357,0,28.5
" 50 - 59 ",1,19.12,2012000358,0,19.12
" 30 - 39 ",2,0,2012000361,0,0
" 30 - 39 ",1,18.5,2012000362,0,18.5
" 65 - 69 ",2,2.5,2012000367,3,5.5
" 65 - 69 ",1,83.16,2012000368,0,83.16
" 40 - 49 ",1,8.5,2012000369,5.1,13.6
" 40 - 49 ",2,0,2012000370,0,0
" 40 - 49 ",1,9,2012000371,0,9
" 21 - 25 ",2,12.5,2012000372,0,12.5
"20",1,4.66,2012000373,0,4.66
" 65 - 69 ",2,12.25,2012000374,16.22,28.47
" 60 - 64 ",1,13.12,2012000375,9.02,22.14
" 26 - 29 ",2,38.2,2012000376,13.46,51.66
" 65 - 69 ",1,6.12,2012000377,7.22,13.34
" 65 - 69 ",2,2.5,2012000378,2.4,4.9
" 60 - 64 ",2,0,2012000379,0,0
" 30 - 39 ",2,17.62,2012000380,0,17.62
" 30 - 39 ",1,7,2012000381,9.6,16.6
" 65 - 69 ",1,14.58,2012000384,0,14.58
" 75 - 79 ",2,4.5,2012000385,0,4.5
" 40 - 49 ",1,0,2012000386,0,0
" 40 - 49 ",2,0,2012000387,0,0
" 70 - 74 ",1,10.5,2012000388,0,10.5
" 65 - 69 ",2,0,2012000389,12.64,12.64
" 65 - 69 ",1,12.25,2012000390,0,12.25
" 65 - 69 ",2,0.87,2012000391,0,0.87
" 60 - 64 ",1,0,2012000392,0,0
" 60 - 64 ",1,11.37,2012000393,18.38,29.75
" 60 - 64 ",2,7.5,2012000394,18.31,25.81
" 80 - 84 ",2,0,2012000395,0,0
" 65 - 69 ",2,0,2012000396,0,0
" 50 - 59 ",2,8.75,2012000397,0,8.75
" 26 - 29 ",1,0,2012000398,0,0
" 60 - 64 ",1,7,2012000399,27,34
" 65 - 69 ",2,6.25,2012000400,22.2,28.45
" 80 - 84 ",2,1.25,2012000401,0,1.25
" 80 - 84 ",1,0,2012000402,0,0
" 75 - 79 ",2,0,2012000403,0,0
" 70 - 74 ",1,8.16,2012000404,0,8.16
" 65 - 69 ",2,0,2012000405,0,0
" 40 - 49 ",2,0,2012000406,0,0
" 80 - 84 ",2,0,2012000407,7.2,7.2
" 50 - 59 ",1,2.62,2012000408,23.65,26.27
" 50 - 59 ",2,0,2012000409,0,0
" 26 - 29 ",1,0,2012000410,25.14,25.14
" 21 - 25 ",2,0,2012000411,2.7,2.7
" 50 - 59 ",2,0,2012000414,1.5,1.5
" 21 - 25 ",2,1.25,2012000415,1.5,2.75
" 40 - 49 ",1,3.37,2012000418,0,3.37
" 40 - 49 ",2,0,2012000419,0,0
" 40 - 49 ",2,0,2012000420,5.94,5.94
" 50 - 59 ",1,6.12,2012000421,4.38,10.5
" 70 - 74 ",2,0,2012000424,0,0
" 70 - 74 ",1,0,2012000425,0,0
" 30 - 39 ",2,0,2012000426,8.1,8.1
" 40 - 49 ",1,14.62,2012000431,0,14.62
" 30 - 39 ",2,22.12,2012000432,0,22.12
" 65 - 69 ",2,0,2012000435,0,0
" 65 - 69 ",1,10,2012000436,0,10
" 65 - 69 ",1,31.5,2012000437,0,31.5
" 65 - 69 ",2,0,2012000438,0,0
" 30 - 39 ",2,0,2012000441,0,0
" 21 - 25 ",1,29.72,2012000442,0,29.72
" 50 - 59 ",1,0,2012000444,0,0
" 50 - 59 ",2,0,2012000445,0,0
" 40 - 49 ",2,34.33,2012000446,0,34.33
" 40 - 49 ",1,3.5,2012000447,1.8,5.3
" 70 - 74 ",2,0,2012000449,0,0
" 30 - 39 ",2,3.5,2012000450,12,15.5
" 75 - 79 ",1,0,2012000451,29.4,29.4
" 60 - 64 ",2,10.5,2012000458,3.6,14.1
" 50 - 59 ",2,0,2012000459,42.81,42.81
" 50 - 59 ",1,0,2012000460,0,0
" 50 - 59 ",2,0,2012000461,0,0
" 50 - 59 ",1,41,2012000466,14.4,55.4
" 50 - 59 ",1,8.75,2012000467,0,8.75
" 75 - 79 ",1,0,2012000468,0,0
" 75 - 79 ",2,0,2012000469,7.2,7.2
" 75 - 79 ",2,0,2012000473,0,0
" 50 - 59 ",1,0,2012000478,0,0
" 40 - 49 ",2,1.25,2012000479,31.2,32.45
" 21 - 25 ",2,20.33,2012000480,10.8,31.13
" 60 - 64 ",1,0,2012000486,0,0
" 65 - 69 ",2,0,2012000487,0,0
" 65 - 69 ",2,42,2012000488,7.68,49.68
" 70 - 74 ",1,0.43,2012000489,0,0.43
" 50 - 59 ",2,40.43,2012000490,11.4,51.83
" 40 - 49 ",1,24.33,2012000491,0,24.33
" 21 - 25 ",2,7.87,2012000492,2.4,10.27
" 26 - 29 ",1,24.31,2012000493,0,24.31
" 50 - 59 ",1,3.97,2012000498,0,3.97
" 40 - 49 ",2,0,2012000499,2.4,2.4
" 21 - 25 ",2,60,2012000500,0,60
" 60 - 64 ",2,0,2012000501,6,6
" 50 - 59 ",1,29.25,2012000502,6,35.25
" 65 - 69 ",2,31.5,2012000503,0,31.5
"18",2,0,2012000504,0,0
" 50 - 59 ",1,0,2012000505,0,0
" 40 - 49 ",2,0,2012000506,0,0
" 50 - 59 ",1,18.37,2012000507,0,18.37
" 21 - 25 ",2,0,2012000508,2.88,2.88
" 40 - 49 ",1,0,2012000510,0,0
" 40 - 49 ",2,1.12,2012000511,0,1.12
" 85  +",1,0,2012000513,0,0
" 70 - 74 ",2,0,2012000514,0,0
" 70 - 74 ",2,0,2012000518,9.6,9.6
" 50 - 59 ",2,5,2012000522,1.8,6.8
